clean_name,AP Year,Exams,Testers,Scores 3+,Courses offered,AP Year.1,Exams.1,Testers.1,Scores 3+.1,Courses offered.1,Exams change,Testers Change,Scores 3+ change,Courses Change,2018 testers % of enrollment,enrollment 2014-15,enrollment 2017-18,2018_check,2018_pct,2015_pct,change,pct_change,point_change
Ansonia,2015,144,99,53,9,2018,92,57,39,12,-0.36,-0.42,-0.26,3,0.09,631.0,607.0,0.09390444810543658,0.09390444810543658,0.15689381933438987,-0.4014777095501972,-0.4014777095501972,-0.06298937122895329
Avon,2015,430,210,407,21,2018,640,338,542,24,0.49,0.61,0.33,3,0.33,1056.0,1019.0,0.33169774288518156,0.33169774288518156,0.19886363636363635,0.6679657927940559,0.6679657927940559,0.1328341065215452
Berlin,2015,287,179,206,20,2018,385,214,309,19,0.34,0.2,0.5,-1,0.23,926.0,916.0,0.2336244541484716,0.2336244541484716,0.19330453563714903,0.20858237174013802,0.20858237174013802,0.04031991851132258
Bethel,2015,386,201,273,24,2018,379,213,273,23,-0.02,0.06,0.0,-1,0.23,896.0,925.0,0.23027027027027028,0.23027027027027028,0.22433035714285715,0.026478418717224683,0.026478418717224683,0.005939913127413127
Bloomfield,2015,124,69,47,8,2018,111,62,50,10,-0.1,-0.1,0.06,2,0.09,672.0,657.0,0.0943683409436834,0.0943683409436834,0.10267857142857142,-0.08093441863543116,-0.08093441863543116,-0.00831023048488802
Bolton,2015,65,41,57,9,2018,141,70,107,12,1.17,0.71,0.88,3,0.25,324.0,281.0,0.2491103202846975,0.2491103202846975,0.12654320987654322,0.9685791163961461,0.9685791163961461,0.1225671104081543
Branford,2015,213,154,187,15,2018,143,122,98,14,-0.33,-0.21,-0.48,-1,0.14,992.0,898.0,0.1358574610244989,0.1358574610244989,0.15524193548387097,-0.12486622508894224,-0.12486622508894224,-0.01938447445937208
Bridgeport,2015,338,239,134,12,2018,887,623,263,20,1.62,1.61,0.96,8,0.12,5221.0,5406.0,0.11524232334443212,0.11524232334443212,0.04577667113579774,1.5174902518045192,1.5174902518045192,0.06946565220863438
Bristol,2015,972,510,490,23,2018,857,504,506,21,-0.12,-0.01,0.03,-2,0.21,2530.0,2379.0,0.21185372005044137,0.21185372005044137,0.2015810276679842,0.0509606112306209,0.0509606112306209,0.010272692382457177
Brookfield,2015,499,258,377,18,2018,515,252,335,21,0.03,-0.02,-0.11,3,0.29,901.0,867.0,0.2906574394463668,0.2906574394463668,0.28634850166481685,0.015047879616963194,0.015047879616963194,0.0043089377815499486
Canton,2015,212,123,184,14,2018,232,143,185,16,0.09,0.16,0.01,2,0.28,493.0,510.0,0.2803921568627451,0.2803921568627451,0.24949290060851928,0.12384823848238478,0.12384823848238478,0.03089925625422582
Cheshire,2015,581,372,499,24,2018,722,406,592,26,0.24,0.09,0.19,2,0.28,1555.0,1444.0,0.28116343490304707,0.28116343490304707,0.23922829581993568,0.17529339052214574,0.17529339052214574,0.04193513908311139
Clinton,2015,182,96,127,10,2018,177,92,102,8,-0.03,-0.04,-0.2,-2,0.16,556.0,574.0,0.1602787456445993,0.1602787456445993,0.17266187050359713,-0.07171893147502915,-0.07171893147502915,-0.01238312485899784
Colchester,2015,335,218,270,16,2018,235,165,183,16,-0.3,-0.24,-0.32,0,0.2,894.0,821.0,0.20097442143727162,0.20097442143727162,0.24384787472035793,-0.17582049190403284,-0.17582049190403284,-0.04287345328308631
Coventry,2015,204,135,91,14,2018,240,141,146,17,0.18,0.04,0.6,3,0.3,504.0,474.0,0.2974683544303797,0.2974683544303797,0.26785714285714285,0.110548523206751,0.110548523206751,0.029611211573236873
Cromwell,2015,240,136,154,13,2018,221,120,149,16,-0.08,-0.12,-0.03,3,0.21,576.0,566.0,0.21201413427561838,0.21201413427561838,0.2361111111111111,-0.10205778424443977,-0.10205778424443977,-0.024096976835492723
Danbury,2015,1168,594,561,28,2018,1072,638,448,23,-0.08,0.07,-0.2,-5,0.2,2999.0,3229.0,0.19758439145246207,0.19758439145246207,0.19806602200733578,-0.0024316667240172826,-0.0024316667240172826,-0.0004816305548737132
Darien,2015,743,362,697,28,2018,928,421,855,28,0.25,0.16,0.23,0,0.3,1385.0,1395.0,0.3017921146953405,0.3017921146953405,0.26137184115523465,0.15464662666587461,0.15464662666587461,0.040420273540105855
Derby,2015,47,43,>6,3,2018,51,36,18,4,0.09,-0.16,,1,0.1,378.0,367.0,0.09809264305177112,0.09809264305177112,0.11375661375661375,-0.13769723084722124,-0.13769723084722124,-0.015663970704842628
East Granby,2015,141,79,103,10,2018,120,75,72,11,-0.15,-0.05,-0.3,1,0.29,263.0,260.0,0.28846153846153844,0.28846153846153844,0.30038022813688214,-0.039678675754625255,-0.039678675754625255,-0.011918689675343708
East Haddam,2015,83,48,65,10,2018,77,42,52,8,-0.07,-0.13,-0.2,-2,0.12,364.0,348.0,0.1206896551724138,0.1206896551724138,0.13186813186813187,-0.08477011494252872,-0.08477011494252872,-0.011178476695718073
East Hampton,2015,177,92,154,10,2018,176,91,133,13,-0.01,-0.01,-0.14,3,0.19,514.0,478.0,0.1903765690376569,0.1903765690376569,0.17898832684824903,0.06362561397125702,0.06362561397125702,0.011388242189407871
East Hartford,2015,414,219,169,16,2018,441,256,226,15,0.07,0.17,0.34,-1,0.12,2106.0,2122.0,0.12064090480678605,0.12064090480678605,0.10398860398860399,0.1601358243063535,0.1601358243063535,0.01665230081818206
