"Student Counts by District and Grade"
"All Districts"
"2017-18"

"",,"Grade",,,,,,,,,,,,,,
"District","District Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"New Fairfield School District","=""0910011""",74,150,139,153,137,153,170,180,154,190,190,187,225,206,2308
"New Hartford School District","=""0920011""",17,68,47,64,50,60,78,72,0,0,0,0,0,0,456
"New Haven School District","=""0930011""",1656,1536,1553,1487,1559,1623,1631,1670,1507,1477,1572,1546,1368,1333,21518
"New London School District","=""0950011""",49,259,352,300,325,300,321,260,260,232,290,255,254,243,3700
"New Milford School District","=""0960011""",104,232,275,253,273,291,315,325,340,343,360,353,320,349,4133
"Newington School District","=""0940011""",67,245,279,272,285,317,327,332,329,323,344,320,329,309,4078
"Newtown School District","=""0970011""",67,242,244,279,277,275,321,328,349,369,375,430,408,443,4407
"Norfolk School District","=""0980011""",6,7,12,14,12,14,15,15,0,0,0,0,0,0,95
"North Branford School District","=""0990011""",30,106,123,121,151,132,124,138,147,141,147,143,133,148,1784
"North Canaan School District","=""1000011""",12,43,35,24,21,31,41,18,26,30,0,0,0,0,281
"North Haven School District","=""1010011""",45,223,227,198,222,224,261,228,230,281,240,268,255,257,3159
"North Stonington School District","=""1020011""",43,55,53,58,62,60,63,49,59,64,45,47,44,50,752
"Norwalk School District","=""1030011""",260,841,790,862,900,855,882,879,834,864,970,885,876,875,11573
"Norwich School District","=""1040011""",263,386,379,373,348,375,376,321,336,354,12,12,10,50,3595
"Old Saybrook School District","=""1060011""",56,58,68,71,103,72,88,95,93,106,107,123,112,114,1266
"Orange School District","=""1070011""",40,144,166,146,168,149,181,181,0,0,0,0,0,0,1175
"Oxford School District","=""1080011""",27,99,120,128,122,130,153,164,175,164,128,144,160,141,1855
"Plainfield School District","=""1090011""",126,162,151,143,148,163,175,179,163,162,165,171,167,192,2267
"Plainville School District","=""1100011""",147,127,177,164,154,174,169,173,181,192,202,164,188,164,2376
"Plymouth School District","=""1110011""",73,95,81,93,93,119,102,133,111,110,96,97,132,131,1466
"Pomfret School District","=""1120011""","*",28,24,44,39,42,42,42,55,50,"*",0,0,0,388
"Portland School District","=""1130011""",29,90,98,105,92,103,108,93,112,110,98,89,105,89,1321
"Preston School District","=""1140011""",42,45,40,43,38,50,53,45,48,40,"*",0,0,"*",447
"Putnam School District","=""1160011""",98,99,85,75,86,99,92,80,102,81,67,70,76,75,1185
"Redding School District","=""1170011""",55,89,98,74,83,93,101,92,105,124,0,0,0,0,914
"Regional School District 06","=""2060012""",73,49,38,48,54,43,57,35,61,52,102,109,88,110,919
"Regional School District 10","=""2100012""",38,153,148,146,141,181,195,177,182,216,204,167,193,207,2348
"Regional School District 12","=""2120012""",41,38,28,36,44,40,40,58,46,56,63,73,67,62,692
"Regional School District 13","=""2130012""",32,90,116,106,113,107,150,117,153,135,132,130,150,144,1675
"Regional School District 14","=""2140012""",21,99,103,102,101,118,93,112,130,117,178,150,194,198,1716
"Regional School District 15","=""2150012""",70,214,213,229,229,257,268,295,293,339,289,321,307,307,3631
"Regional School District 16","=""2160012""",54,144,128,153,146,148,181,171,185,203,157,175,167,185,2197
"Regional School District 17","=""2170012""",41,127,135,115,136,159,149,171,185,160,185,162,165,176,2066
"Regional School District 18","=""2180012""",44,68,61,72,80,80,91,85,100,118,111,133,118,117,1278
"Ridgefield School District","=""1180011""",44,294,315,297,341,345,389,380,430,403,442,409,413,427,4929
"Rocky Hill School District","=""1190011""",58,207,220,254,231,211,194,201,194,188,192,182,189,188,2709
"Salem School District","=""1210011""","*",34,46,41,42,35,41,48,61,36,0,0,"*",0,401
"Salisbury School District","=""1220011""",20,44,19,33,27,29,34,25,30,37,0,0,0,0,298
"Scotland School District","=""1230011""",18,13,15,14,11,18,12,18,0,0,0,0,0,0,119
"Seymour School District","=""1240011""",19,160,166,116,165,188,183,163,167,184,168,159,175,163,2176
"Shelton School District","=""1260011""",79,303,353,322,348,346,355,374,392,376,362,393,363,354,4720
"Sherman School District","=""1270011""","*",14,28,31,35,25,39,40,34,42,0,0,0,"*",302
"Side By Side Charter School District","=""2700013""",38,22,23,22,23,18,24,21,24,20,0,0,0,0,235
"Simsbury School District","=""1280011""",42,258,278,242,295,278,325,299,303,354,326,363,356,379,4098
"Somers School District","=""1290011""",34,95,85,91,101,86,106,128,111,121,126,107,128,120,1439
"South Windsor School District","=""1320011""",84,299,318,303,315,339,297,305,343,321,332,337,326,340,4259
"Southington School District","=""1310011""",87,428,421,418,485,485,492,488,558,535,525,547,475,556,6500
"Sprague School District","=""1330011""",29,38,38,30,34,33,42,30,30,30,"*",0,"*","*",339
"Stafford School District","=""1340011""",91,109,103,100,122,130,107,139,119,105,104,113,97,88,1527
"Stamford Charter School for Excellence District","=""2960013""",57,56,56,51,53,0,0,0,0,0,0,0,0,0,273
"Stamford School District","=""1350011""",245,1288,1302,1300,1252,1238,1326,1203,1104,1115,1203,1118,1102,1135,15931
"Sterling School District","=""1360011""","*",27,37,45,30,44,41,38,49,48,0,0,0,"*",387
"Stonington School District","=""1370011""",37,147,126,134,145,138,178,163,164,155,178,170,177,185,2097
"Stratford School District","=""1380011""",188,439,455,474,456,529,531,549,560,561,530,513,506,549,6840
"Suffield School District","=""1390011""",53,121,129,145,145,141,154,168,151,203,207,190,226,185,2218
"Thomaston School District","=""1400011""",38,59,57,62,63,59,70,62,69,79,73,53,72,61,877
"Thompson School District","=""1410011""",39,96,70,71,76,79,73,78,91,97,64,54,71,61,1020
"Tolland School District","=""1420011""",38,155,145,132,188,182,192,193,187,203,217,205,203,227,2467
"Torrington School District","=""1430011""",113,330,337,327,323,340,354,343,356,355,208,228,225,269,4108
"Trumbull School District","=""1440011""",226,423,430,467,427,518,490,526,515,564,535,496,545,578,6740
"Union School District","=""1450011""","*","*",9,"*","*",7,6,"*",7,7,0,0,0,0,"*"
"Vernon School District","=""1460011""",139,253,221,240,247,227,260,242,213,250,192,198,202,224,3108
"Voluntown School District","=""1470011""",32,26,21,30,25,26,25,31,32,30,"*",0,"*","*",282
"Wallingford School District","=""1480011""",193,371,412,361,419,419,416,409,450,495,498,479,462,479,5863
"Waterbury School District","=""1510011""",817,1519,1512,1412,1521,1450,1510,1409,1427,1430,1267,1234,1242,1257,19007
"Waterford School District","=""1520011""",30,140,184,172,162,196,206,175,204,214,218,225,200,209,2535
"Watertown School District","=""1530011""",76,186,199,173,198,192,238,222,223,231,180,212,224,231,2785
"West Hartford School District","=""1550011""",247,627,658,665,675,751,746,748,732,791,802,736,775,785,9738
"West Haven School District","=""1560011""",95,476,468,479,415,480,464,473,503,441,416,404,379,368,5861
"Westbrook School District","=""1540011""",29,27,58,35,43,51,52,54,65,65,48,52,63,89,731
"Weston School District","=""1570011""",27,113,142,147,154,175,180,196,192,198,212,185,214,208,2343
"Westport School District","=""1580011""",66,332,347,387,370,432,419,437,448,455,480,463,490,472,5598
"Wethersfield School District","=""1590011""",62,245,236,259,250,263,281,263,273,291,282,279,297,328,3609
"Willington School District","=""1600011""",22,36,42,51,47,39,58,56,40,49,0,0,0,0,440
