"Student Counts by District and Grade"
"All Districts"
"2014-15"

"",,"Grade",,,,,,,,,,,,,,
"District","District Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""",25,25,31,24,36,42,51,41,0,0,0,0,0,0,275
"Ansonia School District","=""0020011""",104,197,192,176,170,183,182,180,189,211,170,187,132,142,2415
"Area Cooperative Educational Services","=""2440014""",6,69,88,96,113,118,112,361,361,339,45,57,48,126,1939
"Ashford School District","=""0030011""",49,37,43,33,44,43,38,50,32,48,0,0,0,0,417
"Avon School District","=""0040011""",48,201,210,220,215,278,277,277,276,274,291,259,250,256,3332
"Barkhamsted School District","=""0050011""",22,33,26,35,47,48,46,60,0,0,0,0,0,0,317
"Berlin School District","=""0070011""",51,184,200,190,187,246,220,246,216,243,219,240,246,221,2909
"Bethany School District","=""0080011""",15,43,49,59,51,58,63,69,0,0,0,0,0,0,407
"Bethel School District","=""0090011""",116,189,214,244,197,205,181,240,211,246,212,212,249,223,2939
"Bloomfield School District","=""0110011""",265,155,104,143,125,123,115,131,141,141,168,183,163,158,2115
"Bolton School District","=""0120011""",9,41,55,54,58,68,64,65,52,57,85,70,87,82,847
"Bozrah School District","=""0130011""",16,"*",20,25,21,31,20,17,22,23,0,0,0,"*",211
"Branford School District","=""0140011""",112,194,209,229,220,232,219,214,246,241,218,257,262,255,3108
"Brass City Charter School District","=""2900013""",33,39,39,39,0,0,0,0,0,0,0,0,0,0,150
"Bridgeport School District","=""0150011""",1042,1884,1895,1820,1799,1715,1528,1386,1483,1471,1720,1479,1185,837,21244
"Bristol School District","=""0170011""",337,575,560,600,596,660,579,606,561,629,679,588,637,626,8233
"Brookfield School District","=""0180011""",34,139,161,190,222,189,223,239,197,224,220,230,215,236,2719
"Brooklyn School District","=""0190011""",116,67,100,73,82,99,81,84,108,100,"*","*","*","*",920
