"Student Counts by District and Grade"
"All Districts"
"2014-15"

"",,"Grade",,,,,,,,,,,,,,
"Canterbury School District","=""0220011""",42,41,34,41,34,52,39,71,58,60,0,"*","*","*",477
"Canton School District","=""0230011""",24,86,105,117,117,136,131,148,146,126,130,129,99,135,1629
"Capitol Region Education Council","=""2410014""",1057,571,596,511,388,347,282,789,692,721,749,618,459,386,8166
"Chaplin School District","=""0240011""",32,21,22,23,17,24,21,18,0,0,0,0,0,0,178
"Cheshire School District","=""0250011""",74,229,245,283,297,350,391,371,357,399,351,412,374,418,4551
"Clinton School District","=""0270011""",34,110,137,136,139,174,141,148,161,152,137,132,139,148,1888
"Colchester School District","=""0280011""",59,162,161,161,170,200,217,200,198,232,226,210,215,243,2654
"Columbia School District","=""0300011""",34,38,43,41,36,60,39,46,60,57,0,"*","*","*",458
"Cooperative Educational Services","=""2430014""",165,39,44,65,70,63,70,53,58,70,27,24,31,70,849
"Coventry School District","=""0320011""",27,116,126,121,119,120,130,132,136,120,115,132,130,127,1651
"Cromwell School District","=""0330011""",46,134,139,147,149,175,161,150,146,161,148,155,140,133,1984
"Danbury School District","=""0340011""",237,882,921,929,869,865,823,846,787,787,862,755,664,718,10945
"Darien School District","=""0350011""",88,375,406,380,392,367,409,382,377,371,372,337,336,340,4932
"Derby School District","=""0370011""",35,106,123,125,134,108,118,112,105,123,98,98,87,95,1467
"East Granby School District","=""0400011""",15,56,75,76,50,76,62,75,61,77,63,61,71,68,886
"East Haddam School District","=""0410011""",23,70,81,73,72,72,83,103,108,94,86,85,80,113,1143
"East Hampton School District","=""0420011""",33,112,143,159,158,135,148,135,140,158,105,136,147,126,1835
"East Hartford School District","=""0430011""",299,503,578,537,528,537,503,465,480,524,540,533,528,505,7060
"East Haven School District","=""0440011""",136,225,208,189,221,198,216,250,245,222,258,238,205,200,3011
"East Lyme School District","=""0450011""",46,133,169,162,181,196,203,217,227,212,298,246,252,297,2839
"East Windsor School District","=""0470011""",49,93,81,95,80,84,91,73,78,75,101,81,71,86,1138
"Eastford School District","=""0390011""",16,11,10,16,13,19,14,11,12,17,0,0,0,0,139
"Easton School District","=""0460011""",27,81,89,99,102,115,99,99,105,120,0,0,0,0,936
"EdAdvance","=""2420014""",227,0,0,0,0,"*",0,"*","*","*","*","*","*",6,250
"Ellington School District","=""0480011""",46,161,196,192,198,220,226,209,212,222,179,209,181,207,2658
"Elm City Montessori School District","=""2910013""",52,18,0,0,0,0,0,0,0,0,0,0,0,0,70
"Enfield School District","=""0490011""",186,415,373,372,374,387,345,378,337,385,463,348,450,361,5174
"Essex School District","=""0500011""",44,39,63,41,52,55,84,76,0,0,0,0,0,0,454
"Fairfield School District","=""0510011""",172,686,750,710,869,784,756,808,788,851,793,739,781,726,10213
"Farmington School District","=""0520011""",78,224,271,289,308,310,342,333,289,283,294,325,335,339,4020
"Franklin School District","=""0530011""",14,19,"*",19,17,14,19,18,21,18,0,0,0,"*",170
"Glastonbury School District","=""0540011""",38,343,386,407,430,444,466,522,510,525,497,483,543,554,6148
"Granby School District","=""0560011""",27,122,114,116,130,130,155,148,163,169,175,157,195,169,1970
"Greenwich School District","=""0570011""",157,663,707,715,664,734,680,644,631,647,604,660,652,655,8813
"Griswold School District","=""0580011""",81,133,143,141,141,117,128,138,141,143,163,146,136,146,1897
"Groton School District","=""0590011""",197,400,431,400,370,359,353,333,297,309,289,274,278,275,4565
"Guilford School District","=""0600011""",38,198,201,249,255,292,263,274,287,276,297,266,249,282,3427
"Hamden School District","=""0620011""",179,416,421,414,406,439,405,392,418,401,432,457,434,466,5680
"Hampton School District","=""0630011""",18,9,14,15,10,14,12,13,0,0,0,0,0,0,105
"Hartford School District","=""0640011""",1405,1766,1675,1652,1695,1604,1459,1691,1563,1509,1854,1447,1336,1297,21953
"Hartland School District","=""0650011""",15,13,18,17,17,24,30,28,15,24,0,"*",0,"*",203
"Hebron School District","=""0670011""",46,74,84,90,117,106,121,148,0,0,0,0,0,0,786
"Highville Charter School District","=""2860013""",41,41,35,38,44,39,35,36,31,32,21,10,0,0,403
"Integrated Day Charter School District","=""2640013""",33,33,33,33,33,33,34,35,33,31,0,0,0,0,331
"Jumoke Academy District","=""2610013""",60,71,75,63,50,64,75,68,80,75,18,9,8,0,716
"Kent School District","=""0680011""",12,26,25,23,24,29,32,33,23,31,0,0,0,0,258
"Killingly School District","=""0690011""",135,180,168,165,175,167,174,180,183,195,255,227,186,186,2576
"Learn","=""2450014""",577,273,162,99,90,91,77,56,53,41,193,187,208,163,2270
"Lebanon School District","=""0710011""",54,59,50,79,72,64,80,78,84,95,99,84,107,100,1105
"Ledyard School District","=""0720011""",64,159,166,172,186,174,177,169,170,182,213,214,249,245,2540
"Lisbon School District","=""0730011""","*",33,37,40,39,43,40,49,40,48,0,0,0,"*",403
"Litchfield School District","=""0740011""",26,63,62,52,69,69,77,84,91,88,71,75,84,72,983
"Madison School District","=""0760011""",43,134,172,168,188,188,214,275,285,267,308,301,309,319,3171
"Manchester School District","=""0770011""",251,547,554,538,486,492,477,410,386,438,407,440,395,446,6267
"Mansfield School District","=""0780011""",78,121,118,139,133,132,113,130,142,136,0,0,0,0,1242
"Marlborough School District","=""0790011""",24,60,60,84,102,93,78,99,0,0,0,0,0,0,600
"Meriden School District","=""0800011""",79,718,748,731,682,659,658,476,488,512,739,604,490,516,8100
"Middletown School District","=""0830011""",123,389,391,411,375,375,393,364,315,344,373,317,307,316,4793
"Milford School District","=""0840011""",192,415,429,453,429,467,459,506,486,530,460,505,484,463,6278
"Monroe School District","=""0850011""",34,193,202,213,216,220,268,254,249,256,302,271,286,335,3299
"Montville School District","=""0860011""",62,134,183,168,144,192,185,173,183,198,209,165,177,183,2356
"Naugatuck School District","=""0880011""",145,317,317,301,337,300,326,324,344,336,295,311,315,348,4316
"New Beginnings Inc Family Academy District","=""2800013""",42,67,46,70,46,46,42,42,37,35,0,0,0,0,473
"New Britain School District","=""0890011""",494,912,840,883,809,794,805,625,655,692,900,644,530,518,10101
"New Canaan School District","=""0900011""",35,302,290,355,321,358,305,372,313,308,317,343,280,314,4213
"New Fairfield School District","=""0910011""",85,139,158,162,174,154,199,209,204,216,214,240,240,268,2662
"New Hartford School District","=""0920011""",10,48,57,75,75,72,82,87,0,0,0,0,0,0,506
"New Haven School District","=""0930011""",1845,1690,1741,1739,1642,1510,1476,1485,1432,1447,1680,1498,1335,1191,21711
"New London School District","=""0950011""",33,259,311,305,270,273,279,222,181,204,311,216,205,184,3253
"New Milford School District","=""0960011""",73,262,274,309,314,339,341,346,367,316,408,332,329,352,4362
"Newington School District","=""0940011""",53,260,264,300,308,315,326,319,331,331,316,331,309,364,4127
"Newtown School District","=""0970011""",58,231,255,279,290,331,341,394,419,417,437,428,423,464,4767
"Norfolk School District","=""0980011""",13,12,12,15,17,12,20,15,0,0,0,0,0,0,116
"North Branford School District","=""0990011""",17,130,140,119,142,145,144,183,163,161,150,163,146,166,1969
"North Canaan School District","=""1000011""",14,30,32,40,20,27,32,27,21,37,0,0,0,0,280
"North Haven School District","=""1010011""",43,204,212,270,222,234,272,241,281,263,253,256,265,296,3312
"North Stonington School District","=""1020011""",37,56,54,63,50,61,60,66,51,47,47,57,43,49,741
"Norwalk School District","=""1030011""",260,909,905,918,891,831,879,833,787,751,869,859,811,808,11311
"Norwich School District","=""1040011""",282,369,376,382,377,380,353,391,382,402,"*","*",15,37,3764
"Old Saybrook School District","=""1060011""",41,106,78,94,97,90,106,110,120,108,119,95,134,127,1425
"Orange School District","=""1070011""",33,135,127,167,171,165,200,182,0,0,0,0,0,0,1180
"Oxford School District","=""1080011""",17,111,122,147,145,172,165,167,172,182,144,174,141,120,1979
"Plainfield School District","=""1090011""",100,143,178,163,167,164,172,180,195,197,166,171,181,174,2351
"Plainville School District","=""1100011""",114,157,177,165,172,165,189,180,174,189,172,181,198,179,2412
"Plymouth School District","=""1110011""",70,97,112,93,125,101,112,115,117,129,134,124,111,116,1556
"Pomfret School District","=""1120011""","*",34,26,33,37,50,48,47,52,57,0,0,0,"*",410
"Portland School District","=""1130011""",24,90,89,110,91,102,109,107,113,126,93,93,88,99,1334
"Preston School District","=""1140011""",18,33,41,51,40,39,40,53,59,47,0,0,"*","*",426
"Putnam School District","=""1160011""",115,85,106,84,91,92,97,96,88,114,79,69,68,68,1252
"Redding School District","=""1170011""",57,63,85,96,84,103,129,124,125,135,0,0,0,0,1001
"Regional School District 06","=""2060012""",57,48,39,50,35,65,53,53,77,67,127,110,104,86,971
"Regional School District 10","=""2100012""",46,131,176,181,162,191,201,218,178,217,205,186,198,194,2484
"Regional School District 12","=""2120012""",31,35,37,39,59,38,47,59,62,73,65,53,77,77,752
"Regional School District 13","=""2130012""",35,105,95,134,112,137,127,166,161,178,127,151,143,161,1832
"Regional School District 14","=""2140012""",51,75,108,92,108,133,107,116,109,141,189,178,196,200,1803
"Regional School District 15","=""2150012""",51,226,239,243,274,284,322,329,343,340,317,319,293,288,3868
"Regional School District 16","=""2160012""",64,149,141,177,166,167,192,183,204,187,165,165,187,182,2329
"Regional School District 17","=""2170012""",38,130,147,137,166,183,165,210,194,194,163,141,147,171,2186
"Regional School District 18","=""2180012""",49,68,72,77,82,97,117,105,126,122,122,123,106,88,1354
"Ridgefield School District","=""1180011""",38,285,328,338,344,407,403,439,406,413,441,453,437,446,5178
"Rocky Hill School District","=""1190011""",51,196,197,181,186,190,188,197,195,189,168,175,178,196,2487
"Salem School District","=""1210011""",16,37,37,41,42,55,33,42,37,54,0,"*",0,"*",399
"Salisbury School District","=""1220011""",16,35,27,29,21,22,46,23,29,25,0,0,0,0,273
"Scotland School District","=""1230011""",25,11,13,12,21,17,12,18,0,0,0,0,0,0,129
"Seymour School District","=""1240011""",25,153,174,178,143,187,178,193,184,215,164,172,174,146,2286
"Sharon School District","=""1250011""",6,26,12,21,15,19,18,18,14,28,0,0,0,0,177
"Shelton School District","=""1260011""",60,323,320,323,353,381,352,398,453,425,352,411,409,387,4947
"Sherman School District","=""1270011""",28,36,26,31,37,32,41,28,38,50,"*","*",0,0,349
"Side By Side Charter School District","=""2700013""",38,22,22,22,23,24,22,22,21,19,0,0,0,0,235
"Simsbury School District","=""1280011""",41,259,244,292,289,290,334,340,356,387,340,382,363,390,4307
"Somers School District","=""1290011""",24,89,73,100,117,103,124,123,116,132,126,109,121,123,1480
"South Windsor School District","=""1320011""",73,267,307,272,290,318,305,319,344,322,371,337,325,366,4216
"Southington School District","=""1310011""",85,445,474,471,467,532,496,523,561,492,558,503,500,519,6626
"Sprague School District","=""1330011""",34,35,37,37,31,32,38,33,43,44,"*",0,0,"*",366
"Stafford School District","=""1340011""",99,119,120,107,141,122,102,117,122,116,97,122,110,92,1586
"Stamford School District","=""1350011""",180,1450,1327,1364,1294,1212,1172,1102,1145,1105,1224,1201,1131,1178,16085
"Sterling School District","=""1360011""",33,30,47,42,40,52,50,64,56,51,0,0,"*","*",467
"Stonington School District","=""1370011""",38,146,134,161,164,150,154,175,179,189,183,196,195,203,2267
"Stratford School District","=""1380011""",193,456,503,516,549,514,538,564,547,545,530,521,564,520,7060
"Suffield School District","=""1390011""",68,141,138,144,166,144,192,175,184,219,212,195,210,209,2397
"Thomaston School District","=""1400011""",33,59,50,63,60,74,73,101,65,88,57,63,58,68,912
"Thompson School District","=""1410011""",34,72,69,83,78,83,88,80,75,96,73,52,70,63,1016
"Tolland School District","=""1420011""",38,176,170,177,191,188,202,226,239,219,219,210,216,206,2677
"Torrington School District","=""1430011""",47,333,362,381,347,374,366,327,342,362,299,229,268,266,4303
"Trumbull School District","=""1440011""",224,387,460,454,476,481,538,538,468,539,560,509,537,545,6716
"Union School District","=""1450011""","*",7,8,8,"*",9,8,16,12,10,0,0,0,0,80
"Vernon School District","=""1460011""",182,271,241,244,265,242,278,224,216,220,278,230,159,232,3282
"Voluntown School District","=""1470011""",31,31,"*",27,29,36,29,33,34,39,0,0,"*",0,317
"Wallingford School District","=""1480011""",154,355,413,423,395,449,495,454,480,476,472,492,546,501,6105
"Waterbury School District","=""1510011""",702,1654,1563,1538,1446,1434,1461,1414,1341,1354,1290,1289,1194,1198,18878
"Watertown School District","=""1530011""",63,186,181,219,208,209,228,205,223,256,220,219,224,207,2848
"West Hartford School District","=""1550011""",195,602,705,743,731,746,812,767,690,755,770,771,772,735,9794
"West Haven School District","=""1560011""",140,437,496,489,496,521,438,430,446,446,468,404,376,353,5940
"Westbrook School District","=""1540011""",28,44,49,44,45,62,63,55,54,64,83,74,62,80,807
"Weston School District","=""1570011""",33,140,150,146,185,177,186,206,188,214,202,208,206,172,2413
"Westport School District","=""1580011""",54,343,390,408,416,449,440,468,445,489,473,442,482,473,5772
"Wethersfield School District","=""1590011""",78,237,236,270,249,255,299,266,275,284,327,275,311,285,3647
"Willington School District","=""1600011""",21,36,40,50,49,33,47,56,52,46,0,0,0,0,430
"Wilton School District","=""1610011""",60,262,253,288,323,344,314,362,343,344,346,351,343,339,4272
"Winchester School District","=""1620011""",17,83,87,92,67,84,70,78,"*","*","*",10,6,9,609
"Windham School District","=""1630011""",279,284,273,330,281,231,261,242,238,229,181,140,108,113,3190
"Windsor Locks School District","=""1650011""",100,101,113,123,124,131,120,118,113,126,109,106,144,136,1664
"Windsor School District","=""1640011""",49,203,207,227,212,226,234,203,239,233,309,261,272,293,3168
"Wolcott School District","=""1660011""",52,125,132,153,139,176,165,188,232,222,181,193,222,185,2365
"Woodbridge School District","=""1670011""",20,111,109,108,103,97,128,121,0,0,0,0,0,0,797
"Woodstock School District","=""1690011""","*",79,82,87,75,109,99,109,105,100,0,0,"*",0,873
"Achievement First Hartford Academy Inc. District","=""2880013""",0,91,90,91,82,87,162,87,82,62,47,39,34,0,954
"Amistad Academy District","=""2790013""",0,92,93,90,90,79,102,102,81,79,59,57,34,26,984
"Booker T. Washington Academy District","=""2950013""",0,53,38,0,0,0,0,0,0,0,0,0,0,0,91
"Bridgeport Achievement First District","=""2850013""",0,90,90,91,99,90,102,96,93,76,50,41,29,30,977
"Canaan School District","=""0210011""",0,"*",10,"*","*",9,12,7,12,11,0,0,0,0,78
"Chester School District","=""0260011""",0,27,29,27,28,34,40,34,0,0,0,0,0,0,219
"Colebrook School District","=""0290011""",0,14,10,14,12,12,14,15,0,0,0,0,0,0,91
"Cornwall School District","=""0310011""",0,"*",8,12,9,11,"*",10,18,15,0,0,0,0,91
"Deep River School District","=""0360011""",0,43,30,45,52,45,56,45,0,0,0,0,0,0,316
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",0,"*","*","*",7,"*",12,13,"*",12,102,101,75,73,411
"Elm City College Preparatory School District","=""2890013""",0,59,61,58,59,59,61,60,60,49,34,37,18,20,635
"Odyssey Community School District","=""2630013""",0,37,37,37,37,37,37,33,37,36,0,0,0,0,328
"Waterford School District","=""1520011""",0,120,189,180,159,198,198,219,230,215,212,215,194,223,2552
"Park City Prep Charter School District","=""2830013""",0,0,0,0,0,0,91,91,95,83,0,0,0,0,360
"Unified School District #2","=""3470015""",0,0,0,0,0,0,"*","*",6,14,45,67,46,32,215
"Great Oaks Charter School District","=""2940013""",0,0,0,0,0,0,0,127,0,0,0,0,0,0,127
"Interdistrict School for Arts and Comm District","=""2650013""",0,0,0,0,0,0,0,90,89,83,0,0,0,0,262
"Regional School District 07","=""2070012""",0,0,0,0,0,0,0,"*","*",195,184,209,184,151,1076
"Trailblazers Academy District","=""2780013""",0,0,0,0,0,0,0,27,35,57,0,0,0,0,119
"Regional School District 04","=""2040012""",0,0,0,0,0,0,0,0,160,174,157,153,147,183,974
"Regional School District 05","=""2050012""",0,0,0,0,0,0,0,0,379,401,362,359,395,432,2328
"Regional School District 08","=""2080012""",0,0,0,0,0,0,0,0,280,277,283,273,273,275,1661
"Regional School District 11","=""2110012""",0,0,0,0,0,0,0,0,48,63,36,41,34,56,278
"The Bridge Academy District","=""2690013""",0,0,0,0,0,0,0,0,50,50,53,48,42,32,275
"The Gilbert School District","=""9020022""",0,0,0,0,0,0,0,0,91,99,73,101,101,87,552
"Unified School District #1","=""3360015""",0,0,0,0,0,0,0,0,0,12,75,87,129,107,410
"Common Ground High School District","=""2680013""",0,0,0,0,0,0,0,0,0,0,54,59,33,34,180
"Connecticut Technical Education and Career System","=""9000016""",0,0,0,0,0,0,0,0,0,0,2934,2802,2589,2465,10790
"Explorations District","=""2720013""",0,0,0,0,0,0,0,0,0,0,11,26,20,31,88
"Norwich Free Academy District","=""9010022""",0,0,0,0,0,0,0,0,0,0,548,613,564,592,2317
"Path Academy District","=""2930013""",0,0,0,0,0,0,0,0,0,0,71,36,"*","*",132
"Regional School District 01","=""2010012""",0,0,0,0,0,0,0,0,0,0,89,123,105,89,406
"Regional School District 09","=""2090012""",0,0,0,0,0,0,0,0,0,0,255,283,259,268,1065
"Regional School District 19","=""2190012""",0,0,0,0,0,0,0,0,0,0,298,298,284,324,1204
"Stamford Academy District","=""2820013""",0,0,0,0,0,0,0,0,0,0,29,46,44,22,141
"Woodstock Academy District","=""9030022""",0,0,0,0,0,0,0,0,0,0,229,251,248,284,1012
"Department of Mental Health and Addiction Services","=""3370015""",0,0,0,0,0,0,0,0,0,0,0,"*","*","*",7
"Total","=""""",18343,37662,38849,39675,39160,39846,39992,41032,40412,41450,44968,42774,41188,40996,546347

